Milliseconds per frame: 105.737
event_index,call_type,call_type_index,render_call_number,gpu_time_ms
4,glClear,0,0,0.041
10,glDrawElementsInstanced,0,1,0.117
15,glDrawElements,1,2,0.002
19,glDrawElements,2,3,0.002
23,glDrawElements,3,4,0.002
27,glDrawElements,4,5,0.002
31,glDrawElements,5,6,0.001
35,glDrawElements,6,7,0.002
39,glDrawElements,7,8,0.002
43,glDrawElements,8,9,0.002
47,glDrawElements,9,10,0.002
51,glDrawElements,10,11,0.001
55,glDrawElements,11,12,0.002
59,glDrawElements,12,13,0.002
63,glDrawElements,13,14,0.003
67,glDrawElements,14,15,0.002
71,glDrawElements,15,16,0.002
75,glDrawElementsInstanced,16,17,0.171
80,glDrawElements,17,18,0.003
84,glDrawElements,18,19,0.002
88,glDrawElements,19,20,0.002
92,glDrawElements,20,21,0.001
96,glDrawElements,21,22,0.003
100,glDrawElements,22,23,0.004
104,glDrawElements,23,24,0.002
108,glDrawElements,24,25,0.002
112,glDrawElements,25,26,0.003
116,glDrawElements,26,27,0.001
120,glDrawElementsInstanced,27,28,0.170
125,glDrawElements,28,29,0.002
129,glDrawElements,29,30,0.001
133,glDrawElements,30,31,0.002
137,glDrawElements,31,32,0.002
141,glDrawElements,32,33,0.001
145,glDrawElements,33,34,0.002
149,glDrawElements,34,35,0.002
153,glDrawElements,35,36,0.001
157,glDrawElements,36,37,0.002
161,glDrawElements,37,38,0.001
165,glDrawElements,38,39,0.002
169,glDrawElements,39,40,0.002
173,glDrawElementsInstanced,40,41,0.138
178,glDrawElements,41,42,0.003
182,glDrawElements,42,43,0.001
186,glDrawElements,43,44,0.002
190,glDrawElements,44,45,0.002
194,glDrawElements,45,46,0.001
198,glDrawElements,46,47,0.002
202,glDrawElements,47,48,0.001
206,glDrawElements,48,49,0.002
210,glDrawElements,49,50,0.003
214,glDrawElements,50,51,0.003
218,glDrawElements,51,52,0.002
222,glDrawElements,52,53,0.001
226,glDrawElements,53,54,0.002
230,glDrawElements,54,55,0.001
234,glDrawElements,55,56,0.002
238,glDrawElements,56,57,0.002
242,glDrawElements,57,58,0.001
246,glDrawElements,58,59,0.002
